name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"d3-interpolate","3.0.1","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-interpolate.git","https://d3js.org/d3-interpolate/","prod"
"d3-scale","4.0.2","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-scale.git","https://d3js.org/d3-scale/","prod"
"d3-format","3.1.2","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-format.git","https://d3js.org/d3-format/","prod"
"d3-time","3.1.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-time.git","https://d3js.org/d3-time/","prod"
"d3-time-format","4.1.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-time-format.git","https://d3js.org/d3-time-format/","prod"
"d3-zoom","3.0.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-zoom.git","https://d3js.org/d3-zoom/","prod"
"d3-transition","3.0.1","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-transition.git","https://d3js.org/d3-transition/","prod"
"d3-ease","3.0.1","transitive","transitive dependency","prod","npm","BSD-3-Clause","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-ease.git","https://d3js.org/d3-ease/","prod"
"float-tooltip","1.7.5","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/float-tooltip.git","https://github.com/vasturiano/float-tooltip","prod"
"preact","10.29.1","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","preactjs/preact","https://preactjs.com","prod"
